,state,city,laid_off,date,month,year
36269,Washington,"Bothell, Redmond",10.0,2005-07-22,July,2005
36270,Washington,Bothell,33.0,2005-07-15,July,2005
36271,Washington,Seattle,3.0,2005-07-13,July,2005
36272,Washington,Seattle,70.0,2005-07-13,July,2005
36273,Washington,Everett,75.0,2005-06-23,June,2005
36274,Washington,"Bothell, Redmond",4.0,2005-06-21,June,2005
36275,Washington,Kirkland,80.0,2005-06-16,June,2005
36276,Washington,Bothell,13.0,2005-06-10,June,2005
36277,Washington,Seattle,92.0,2005-06-03,June,2005
36278,Washington,Seattle,70.0,2005-06-02,June,2005
36279,Washington,Seattle,98.0,2005-05-27,May,2005
36280,Washington,"Bothell, Redmond",15.0,2005-05-23,May,2005
36281,Washington,Kirkland,135.0,2005-05-20,May,2005
36282,Washington,Bellevue,155.0,2005-05-20,May,2005
36283,Washington,Seattle,477.0,2005-05-19,May,2005
36284,Washington,Redmond,75.0,2005-05-13,May,2005
36285,Washington,"Bothell, Redmond",12.0,2005-05-09,May,2005
36286,Washington,Bothell,53.0,2005-05-02,May,2005
36287,Washington,Richland,350.0,2005-04-25,April,2005
36288,Washington,Redmond,4.0,2005-04-25,April,2005
36289,Washington,Seattle,23.0,2005-04-19,April,2005
36290,Washington,Kent,426.0,2005-04-11,April,2005
36291,Washington,"Bothell, Redmond",26.0,2005-04-11,April,2005
36292,Washington,Burlington,72.0,2005-04-04,April,2005
36293,Washington,Seattle,144.0,2005-03-25,March,2005
36294,Washington,Bothell,43.0,2005-03-17,March,2005
36295,Washington,Pasco,64.0,2005-03-08,March,2005
36296,Washington,Smokey Point,65.0,2005-03-08,March,2005
36297,Washington,Yakima,67.0,2005-03-08,March,2005
36298,Washington,Yakima,118.0,2005-03-02,March,2005
36299,Washington,"Bothell, Redmond",73.0,2005-03-01,March,2005
36300,Washington,"Bothell, Redmond",182.0,2005-02-14,February,2005
36301,Washington,"Bothell, Redmond",160.0,2005-02-01,February,2005
36302,Washington,Seattle,74.0,2005-02-01,February,2005
36303,Washington,Des Moines,125.0,2005-01-31,January,2005
36304,Washington,Tacoma,72.0,2005-01-27,January,2005
36305,Washington,Seattle,67.0,2005-01-20,January,2005
36306,Washington,"Bothell, Redmond",88.0,2005-01-18,January,2005
36307,Washington,Bothell,17.0,2005-01-18,January,2005
36308,Washington,"Bothell, Redmond",155.0,2005-01-03,January,2005
36309,Washington,Federal Way,256.0,2004-12-22,December,2004
36310,Washington,Seattle,60.0,2004-12-13,December,2004
36311,Washington,Kent,63.0,2004-11-16,November,2004
36312,Washington,Spokane,47.0,2004-10-29,October,2004
36313,Washington,SeaTac,103.0,2004-10-18,October,2004
36314,Washington,Malaga,59.0,2004-09-27,September,2004
36315,Washington,Bothell,163.0,2004-09-21,September,2004
36316,Washington,Seattle,189.0,2004-09-14,September,2004
36317,Washington,Redmond,67.0,2004-08-23,August,2004
36318,Washington,Redmond,2.0,2004-08-09,August,2004
36319,Washington,Tacoma,220.0,2004-08-04,August,2004
36320,Washington,Malaga,400.0,2004-07-30,July,2004
36321,Washington,Federal Way,134.0,2004-07-30,July,2004
36322,Washington,Kirkland,2.0,2004-07-29,July,2004
36323,Washington,Mountlake Terrace,82.0,2004-07-28,July,2004
36324,Washington,Silverdale,35.0,2004-07-22,July,2004
36325,Washington,Bellevue,31.0,2004-07-06,July,2004
36326,Washington,Spokane,174.0,2004-06-30,June,2004
36327,Washington,Chehalis,80.0,2004-06-16,June,2004
36328,Washington,Redmond,3.0,2004-06-10,June,2004
36329,Washington,Redmond,63.0,2004-06-03,June,2004
36330,Washington,Seattle,170.0,2004-05-24,May,2004
36331,Washington,Lynnwood,52.0,2004-05-12,May,2004
36332,Washington,Kent,27.0,2004-04-28,April,2004
36333,Washington,Bellevue,43.0,2004-04-27,April,2004
36334,Washington,Redmond,13.0,2004-04-22,April,2004
36335,Washington,Tacoma,82.0,2004-04-19,April,2004
36336,Washington,Kirkland,131.0,2004-04-15,April,2004
36337,Washington,Redmond,87.0,2004-04-14,April,2004
36338,Washington,Brewster,73.0,2004-04-14,April,2004
36339,Washington,Seattle,1000.0,2004-03-30,March,2004
36340,Washington,Seattle,500.0,2004-03-26,March,2004
36341,Washington,Oak Harbor,84.0,2004-03-26,March,2004
36342,Washington,Seattle,63.0,2004-03-25,March,2004
36343,Washington,Quincy,606.0,2004-03-19,March,2004
36344,Washington,Vancouver,46.0,2004-03-09,March,2004
36345,Washington,Seattle,92.0,2004-03-08,March,2004
36346,Washington,Tukwila,49.0,2004-03-01,March,2004
36347,Washington,Sumner,212.0,2004-02-05,February,2004
36348,Washington,Seattle,161.0,2004-01-23,January,2004
36349,Washington,Seattle,150.0,2004-01-20,January,2004
36350,Washington,Liberty Lake,60.0,2004-01-12,January,2004
36351,"Washington, D.C.",,77.0,2021-03-02,March,2021
36352,"Washington, D.C.",,187.0,2021-03-16,March,2021
36353,"Washington, D.C.",,1604.0,2020-10-22,October,2020
36354,"Washington, D.C.",,70.0,2020-10-22,October,2020
36355,"Washington, D.C.",,738.0,2020-10-16,October,2020
36356,"Washington, D.C.",,123.0,2020-10-16,October,2020
36357,"Washington, D.C.",,55.0,2020-10-12,October,2020
36358,"Washington, D.C.",,33.0,2020-10-01,October,2020
36359,"Washington, D.C.",,55.0,2020-09-30,September,2020
36360,"Washington, D.C.",,91.0,2020-09-14,September,2020
